Цена (₸)                                                                                                                                         , Дата                                                             , Заведение                                                        , Улица                                                            , Номер здания                      , Дополнительно
БилетыКонцерты в EverJazzТрио Дайаны Досхана - Summer Jazz & Soul4000 тенге                                                                      , 18 июня в 20:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzДиана Макина – Завтрак у Тиффани. Песни из голливудских фильмов4000 - 6000 тенге                                        , 20 июня в 19:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыСпектакли в театре 2actСпектакль «ЧЯрли ГордАн»от 10 000 тенге                                                                             , 28 июня - 20 июля                                                , Альянс-театр 2act                                                , ул. Макатаева 127/11                                             , корпус 1
БилетыКонцерты в EverJazzVlad polak band —  Мировой блюз4000 - 6000 тенге                                                                        , 20 июня в 22:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
БилетыКонцерты в EverJazzDair Ard – Кельтский фолк4000 – 6000 тенге                                                                              , 15 июня в 18:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40б
Туры от Blast TourТур «Плато Ассы и Медвежий водопад»23 мая - 29 июня                                                                            , Место сбора: ул. Байтурсынова                                    , 100                                                              , между улицами Абая и Сатпаева                                    , напротив гостиницы «Астана»
БилетыКонцертыКонцерт группы «Перемотка» в Алматыот 10 000 тенге                                                                                 , 20 июня в 20:00                                                  , Рок-клуб «Жесть»                                                 , ул. Розыбакиева                                                  , 236
БилетыСпектакли в арт-убежище BUNKERСпектакль «Мечта»от 4000 тенге                                                                               , 15 июня и 29 июня                                                , Независимый Экспериментальный Театр «Арт-убежище BUNKER»         , ул. Досмухамедова                                                , 78А
Спектакли в арт-убежище BUNKERСпектакль «Народное сообщение»Независимый Экспериментальный Театр «Арт-убежище BUNKER»                             , ул. Досмухамедова                                                , 78А
Спектакли в арт-убежище BUNKERСпектакль «А рыбы спят?»Независимый Экспериментальный Театр «Арт-убежище BUNKER»                                   , ул. Досмухамедова                                                , 78а (вход с ул. Кабанбай батыра)
КинопоказыВечерний кинопоказ под открытым небом13 июня - 23 июня                                                                                 , Open Cinema Almaty                                               , ​ул. Жандосова 58/1                                               , 3 этаж (вход со стороны Айманова)
Туры от MOCEAN TravelОднодневный тур в Алтын Эмель24 мая - 28 июня                                                                               , Место сбора: пр. Абая 50                                         , парковка цирка
Мастер-классыУрок по керамике «Все включено»12 июня - 28 августа                                                                                 , Творческая академия «Яблоко»                                     , ул. Айманова                                                     , 126                                                              , офис 405
БилетыКонцерты в EverJazzДжазовый бранч. Трио Гочи Сирадзе –  My Friends3000 тенге                                                               , 29 июня в 14:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40б
БилетыФестивалиФестиваль комиксов и поп-культуры AlmaCon 2025от 3000 тенге                                                                       , 16 ноября в 12:00                                                , Место проведения будет объявлено позже
Мастер-классыМастер-класс по созданию композиции из стабилизированных растенийШкола флористики Hellawes                                          , ул. Бухар Жырау                                                  , 35                                                               , со стороны реки Есентай (Весновка)
Мероприятия в винном клубе Love WineМузыкальный вечер «За маской — только музыка...»Квартира Винного клуба Love Wine                             , ул. Кабанбай Батыра                                              , 112
КинопоказыКиноужин с фильмом «Унесенные призраками» от VkusKinoРесторан DragonFly Izakaya                                                        , ул. Уалиханова                                                   , 170 (ТЦ Colibri)
ТуризмТур «Природные чудеса Алматинской области в одном незабываемом дне»8 марта - 30 июня                                                       , Место сбора: Compass                                             , пр. Суюнбая                                                      , 114а
ТуризмТур «По следам древнего океана Тетис: от меловых гор Актау и вулканов Катутау до 700-летней ивы»7 марта - 30 июня                          , Место сбора: пр. Суюнбая                                         , 114а
Туры от Melon TravelАвтомобильный тур «БАО – Большое Алматинское Озеро и водопад Аюсай»1 июня - 30 сентября                                      , Большое Алматинское озеро
БилетыКонцерты в EverJazzИгорь Ананьев и Аkko Band – Noche de Acordeón4000 - 6000 тенге                                                          , 13 июля в 18:00                                                  , Джаз-клуб EverJazz                                               , ул. Гоголя                                                       , 40Б
Туры от Grande VoyageОднодневный тур на озеро Кольсай и 3 каньона7 июня - 28 июня                                                                , Место сбора: ул. Байтурсынова                                    , 100
Туры от Grande VoyageДвухдневный тур на озеро Кольсай и Кайынды + 3 каньона реки Чарын23 мая - 27 июня                                           , Место сбора: ул. Байтурсынова                                    , 100
Туры от Grande VoyageТур «Жаркент + Аулие Агаш»Жаркент
Туры от Grande VoyageТур на Чарынский каньон: «Долина замков и Куртогай»24 мая - 29 июня                                                         , Чарынский каньон
Туры от Grande VoyageОднодневный тур на озера Кольсай и Кайынды + Черный каньон24 мая - 29 июня                                                  , Место сбора: ул. Байтурсынова                                    , 100
